num_clients,num_epochs,queue_size_mean,queue_size_max,queue_size_min,latency_mean,latency_max,latency_min,tasks_total,tasks_failed,fail_rate
1,898,0.0,0,0,17.897959183673468,25,11,49,0,0.0
2,1041,0.16666666666666666,1,0,20.77777777777778,44,11,99,0,0.0
3,1245,0.35545023696682465,2,0,23.684563758389263,51,11,149,0,0.0
4,1432,0.5907590759075908,3,0,27.115577889447238,63,11,199,0,0.0
5,1587,0.7822784810126582,4,0,29.863453815261042,81,11,249,0,0.0
6,1756,1.040485829959514,5,0,34.01003344481605,88,11,299,0,0.0
7,1975,1.2736486486486487,5,0,37.270114942528735,101,11,349,1,0.0028653295128939827
8,2225,1.5029411764705882,6,0,39.7735368956743,101,11,399,6,0.015037593984962405
9,2481,1.7830551989730423,7,0,42.672853828306266,101,11,449,18,0.0400890868596882
10,2578,2.0475086906141367,8,0,42.61184210526316,101,11,498,42,0.08433734939759036
11,2785,2.2216441207075963,9,0,41.38830897703549,100,11,549,70,0.12750455373406194
12,2931,2.455909943714822,10,0,41.012024048096194,101,11,598,99,0.16555183946488294
13,3122,2.816793893129771,10,0,44.76792452830189,101,11,649,119,0.18335901386748846
14,3355,3.103937007874016,11,0,44.33456561922366,101,11,699,158,0.22603719599427755
15,3454,3.3519188993482985,12,0,46.371024734982335,101,11,749,183,0.24432576769025366
16,3627,3.54484153742414,12,0,47.63058419243986,101,11,799,217,0.2715894868585732
17,3706,3.7025,12,0,48.38693467336683,101,11,849,252,0.2968197879858657
18,3909,3.9555295494441194,12,0,51.0652528548124,101,11,899,286,0.3181312569521691
19,4145,4.2483480176211454,12,0,52.65853658536585,101,11,949,334,0.3519494204425711
20,4291,4.586785527005768,12,0,54.67827529021559,101,11,999,396,0.3963963963963964
21,4505,4.900497512437811,12,0,56.72986577181208,101,11,1049,453,0.43183984747378457
22,4567,5.176442307692308,12,0,56.606271777003485,101,11,1099,525,0.47770700636942676
23,4720,5.425815342214056,12,0,57.93795620437956,101,11,1149,601,0.5230635335073978
24,4874,5.82212389380531,12,0,60.61730769230769,101,11,1199,679,0.5663052543786489
25,5088,6.101839965768079,12,0,59.5945945945946,101,11,1249,768,0.6148919135308246
26,5162,6.681666666666667,12,0,56.1645885286783,101,11,1299,898,0.6913010007698229
27,5246,7.142857142857143,12,0,54.74576271186441,101,11,1349,995,0.737583395107487
28,5210,7.650520416333066,12,0,56.730886850152906,101,13,1399,1072,0.7662616154395997
29,5194,7.940919904837431,12,0,59.125,101,12,1449,1153,0.7957211870255348
30,5329,8.223833790670325,12,0,63.144444444444446,100,13,1499,1229,0.8198799199466311
31,5323,8.596102407336645,12,0,68.89237668161435,101,14,1549,1326,0.856036152356359
32,5388,8.916604057099924,12,0,71.39759036144578,101,14,1599,1433,0.8961851156973109
33,5357,9.507389162561577,12,0,67.4949494949495,101,13,1649,1550,0.939963614311704
34,5248,9.93075117370892,12,0,65.3780487804878,101,12,1699,1617,0.951736315479694
35,5172,9.894736842105264,12,0,65.24,100,11,1749,1674,0.9571183533447685
36,4949,9.93178999586606,12,0,61.86363636363637,99,12,1799,1711,0.9510839355197331
37,4796,10.059153713298791,12,0,54.96052631578947,101,12,1849,1773,0.9588967009194159
38,4716,10.28735632183908,12,0,55.80952380952381,101,11,1899,1836,0.966824644549763
39,4545,10.340099233198016,12,0,53.07692307692308,99,13,1949,1884,0.9666495638789122
