num_clients,num_epochs,queue_size_mean,queue_size_max,queue_size_min,latency_mean,latency_max,latency_min,tasks_total,tasks_failed,fail_rate
1,898,0.0,0,0,17.897959183673468,25,11,49,0,0.0
2,1041,0.16666666666666666,1,0,20.77777777777778,44,11,99,0,0.0
3,1245,0.35545023696682465,2,0,23.684563758389263,51,11,149,0,0.0
4,1432,0.5907590759075908,3,0,27.115577889447238,63,11,199,0,0.0
5,1587,0.7822784810126582,4,0,29.863453815261042,81,11,249,0,0.0
6,1756,1.040485829959514,5,0,34.01003344481605,88,11,299,0,0.0
7,1976,1.271043771043771,5,0,37.578796561604584,202,11,349,0,0.0
8,2273,1.4949348769898698,6,0,41.55137844611529,213,11,399,0,0.0
9,2490,1.7252475247524752,6,0,47.25612472160356,280,11,449,0,0.0
10,2681,1.9142236699239956,6,0,50.407630522088354,268,11,499,1,0.002004008016032064
11,3037,2.017191977077364,6,0,54.67213114754098,284,11,549,0,0.0
12,3100,2.1724429416737108,6,0,58.20066889632107,327,11,599,1,0.001669449081803005
13,3382,2.2523006134969323,6,0,59.76315789473684,299,11,649,3,0.004622496147919877
14,3496,2.3696551724137933,6,0,64.15759312320917,345,11,699,1,0.001430615164520744
15,3631,2.4827586206896552,6,0,65.94070080862534,339,11,749,7,0.009345794392523364
16,3903,2.7437722419928825,6,0,70.7906683480454,336,11,799,6,0.007509386733416771
17,4141,2.9313351498637603,6,0,75.95957193816885,333,11,849,8,0.009422850412249705
18,4540,3.1210474308300395,6,0,82.45945945945945,346,11,899,11,0.012235817575083427
19,4828,3.257637938896489,6,0,88.06623931623932,346,11,949,13,0.0136986301369863
20,5209,3.39026437263953,6,0,93.35093167701864,346,11,999,33,0.03303303303303303
21,5597,3.511555033294164,6,0,96.56829511465604,349,13,1049,46,0.0438512869399428
22,5785,3.683885049108767,6,0,102.2502406159769,349,11,1099,60,0.0545950864422202
23,6231,3.825765220316179,6,0,108.35004642525534,349,11,1149,72,0.06266318537859007
24,6535,4.031589023611997,6,0,114.49640933572711,349,11,1199,85,0.07089241034195162
25,6765,4.151219512195122,6,0,116.71693121693121,349,11,1249,115,0.09207365892714171
26,7187,4.2454935622317596,6,0,120.477493380406,349,13,1299,166,0.12779060816012316
27,7613,4.447897133672649,6,0,124.95811051693404,349,11,1349,227,0.1682727946627131
28,7987,4.54822205167562,6,0,130.59074733096085,349,11,1399,275,0.19656897784131522
29,8375,4.707662274280136,6,0,135.5627822944896,349,11,1449,342,0.2360248447204969
30,8636,4.756126576255056,6,0,137.56654343807764,349,13,1499,417,0.2781854569713142
31,8888,4.8846065611378755,6,0,142.25505293551493,349,11,1549,510,0.329244673983215
32,9009,4.912926391382406,6,0,145.21849593495935,349,12,1599,615,0.38461538461538464
33,9321,5.0119176598049835,6,0,146.00665188470066,349,12,1649,747,0.4530018192844148
34,9520,5.073243014394581,6,0,146.8071856287425,349,12,1699,864,0.5085344320188346
35,9611,5.108438818565401,6,0,149.48662420382166,349,11,1749,964,0.5511720983419096
36,9814,5.129514321295143,6,0,145.3027027027027,349,13,1799,1059,0.5886603668704836
37,9973,5.160161779575328,6,0,148.90289855072464,349,16,1849,1159,0.6268253109789075
38,10542,5.176176753121998,6,0,158.0950819672131,349,12,1899,1289,0.6787783043707214
39,10906,5.2083102493074795,6,0,151.03036437246965,349,13,1949,1455,0.7465366854797332
